step_count,eval reward,Return (Test),Max Step Count (Test),reward
49,-0.2697666585445404,-13.488333702087402,49.0,-1.016530990600586
49,-0.19115546345710754,-9.55777359008789,49.0,-1.0118117332458496
49,-0.2574590742588043,-12.872953414916992,49.0,-0.9711849093437195
49,-0.18637658655643463,-9.318829536437988,49.0,-1.003056287765503
49,-0.1807539016008377,-9.037694931030273,49.0,-0.9733628034591675
49,-0.20849265158176422,-10.424633026123047,49.0,-0.9956148266792297
49,-0.29063332080841064,-14.531665802001953,49.0,-0.9692397713661194
49,-0.2661433815956116,-13.307169914245605,49.0,-1.0179827213287354
49,-0.29247692227363586,-14.623847007751465,49.0,-0.9877511858940125
49,-0.1671246737241745,-8.356233596801758,49.0,-0.9977214336395264
49,-0.18389642238616943,-9.19482135772705,49.0,-0.9998968839645386
49,-0.2127760797739029,-10.63880443572998,49.0,-1.0132478475570679
49,-0.17327110469341278,-8.663555145263672,49.0,-1.0197945833206177
49,-0.219924196600914,-10.996210098266602,49.0,-1.0135148763656616
49,-0.1479053497314453,-7.395267486572266,49.0,-0.9940288066864014
49,-0.19947780668735504,-9.97389030456543,49.0,-1.0345042943954468
49,-0.19571201503276825,-9.785600662231445,49.0,-0.9725289344787598
49,-0.1946612149477005,-9.733060836791992,49.0,-1.0091890096664429
49,-0.2241574227809906,-11.207871437072754,49.0,-1.0196053981781006
49,-0.171799898147583,-8.589995384216309,49.0,-0.9991212487220764
49,-0.18845157325267792,-9.422578811645508,49.0,-0.9955657124519348
49,-0.18947012722492218,-9.473506927490234,49.0,-1.0342342853546143
49,-0.2246209681034088,-11.231048583984375,49.0,-1.0068703889846802
49,-0.23143118619918823,-11.57155990600586,49.0,-0.9719609618186951
49,-0.1835603266954422,-9.178016662597656,49.0,-1.0024051666259766
49,-0.16400618851184845,-8.200309753417969,49.0,-1.0278040170669556
49,-0.21065738797187805,-10.532869338989258,49.0,-1.0232497453689575
49,-0.20514701306819916,-10.25735092163086,49.0,-0.9773105382919312
49,-0.20631404221057892,-10.315702438354492,49.0,-1.0016484260559082
49,-0.2697089612483978,-13.485448837280273,49.0,-0.9918026328086853
49,-0.25564882159233093,-12.782441139221191,49.0,-1.0107899904251099
49,-0.19490733742713928,-9.745367050170898,49.0,-1.0144370794296265
49,-0.25529778003692627,-12.76488971710205,49.0,-0.9922542572021484
49,-0.2839449644088745,-14.197248458862305,49.0,-0.9953315854072571
49,-0.1969483196735382,-9.847415924072266,49.0,-0.9996203184127808
49,-0.18345433473587036,-9.172717094421387,49.0,-1.0006420612335205
49,-0.2109200805425644,-10.546004295349121,49.0,-1.0052049160003662
49,-0.20641261339187622,-10.32063102722168,49.0,-1.0194532871246338
49,-0.18982629477977753,-9.491314888000488,49.0,-1.0230937004089355
