step_count,eval reward,Return (Test),Max Step Count (Test),reward
10,9.187019348144531,110.24423217773438,11.0,9.076436042785645
11,9.160597801208496,91.60597229003906,9.0,9.079656600952148
12,9.177266120910645,73.41812896728516,7.0,9.088641166687012
10,9.240608215332031,120.1279067993164,12.0,9.073173522949219
11,9.19516372680664,82.7564697265625,8.0,9.082509994506836
12,9.257905960083008,148.12649536132812,15.0,9.081316947937012
11,9.125845909118652,82.13261413574219,8.0,9.090466499328613
12,9.181774139404297,73.45419311523438,7.0,9.080857276916504
13,9.241836547851562,101.66019439697266,10.0,9.090189933776855
12,9.212379455566406,110.54855346679688,11.0,9.07622241973877
10,9.213635444641113,101.34999084472656,10.0,9.086122512817383
10,9.220087051391602,101.42095947265625,10.0,9.083170890808105
11,9.210381507873535,119.73495483398438,12.0,9.080299377441406
9,9.212786674499512,92.12786865234375,9.0,9.088918685913086
10,9.250732421875,129.51025390625,13.0,9.078169822692871
14,9.167726516723633,82.50953674316406,8.0,9.086211204528809
11,9.212129592895508,82.90916442871094,8.0,9.072403907775879
10,9.199836730957031,101.19819641113281,10.0,9.08739948272705
11,9.230597496032715,92.30597686767578,9.0,9.088467597961426
9,9.171882629394531,100.89070129394531,10.0,9.076217651367188
10,9.271156311035156,111.25387573242188,11.0,9.08768367767334
12,9.210206985473633,119.73268127441406,12.0,9.088095664978027
14,9.21810531616211,101.39915466308594,10.0,9.08651351928711
10,9.254213333129883,120.30476379394531,12.0,9.080486297607422
14,9.193013191223145,82.73711395263672,8.0,9.082489013671875
10,9.136387825012207,82.22749328613281,8.0,9.083359718322754
11,9.228734970092773,101.51608276367188,10.0,9.089727401733398
12,9.163777351379395,91.63777160644531,9.0,9.08152961730957
16,9.214553833007812,92.14553833007812,9.0,9.087784767150879
10,9.233183860778809,101.56501770019531,10.0,9.077792167663574
12,9.189861297607422,73.51889038085938,7.0,9.087810516357422
11,9.178390502929688,73.4271240234375,7.0,9.075746536254883
12,9.159774780273438,91.59774780273438,9.0,9.082185745239258
10,9.200079917907715,92.00079345703125,9.0,9.0756196975708
23,9.217472076416016,73.73977661132812,7.0,9.085161209106445
12,9.172821044921875,100.9010238647461,10.0,9.085204124450684
12,9.181997299194336,73.45597839355469,7.0,9.081104278564453
15,9.205705642700195,101.26275634765625,10.0,9.080252647399902
