step_count,eval reward,Return (Test),Max Step Count (Test),reward
999,26.91918182373047,26919.1796875,999.0,32.565670013427734
998,26.90048599243164,26900.484375,999.0,33.38887023925781
999,26.947965621948242,26947.96484375,999.0,30.729934692382812
999,26.948532104492188,26948.53125,999.0,34.95376968383789
999,26.928977966308594,26928.9765625,999.0,32.61825180053711
999,26.9456729888916,26945.671875,999.0,32.77580642700195
999,26.952627182006836,26952.625,999.0,29.794017791748047
999,26.929580688476562,26929.580078125,999.0,30.413286209106445
999,26.95012664794922,26950.125,999.0,31.584909439086914
999,26.94807243347168,26948.0703125,999.0,30.685171127319336
999,26.92865753173828,26928.65625,999.0,31.2768611907959
999,26.904067993164062,26904.06640625,999.0,33.80669403076172
999,26.961530685424805,26961.529296875,999.0,33.62668991088867
999,26.944229125976562,26944.228515625,999.0,33.93196105957031
999,26.928388595581055,26928.38671875,999.0,42.2081184387207
999,26.92839813232422,26928.396484375,999.0,32.52465057373047
999,26.94257164001465,26942.5703125,999.0,32.07763671875
999,26.911705017089844,26911.703125,999.0,33.8604850769043
999,26.942636489868164,26942.634765625,999.0,32.44476318359375
999,26.929664611816406,26929.6640625,999.0,32.03288269042969
999,26.919477462768555,26919.4765625,999.0,31.993268966674805
999,26.942188262939453,26942.1875,999.0,33.661964416503906
999,26.932109832763672,26932.109375,999.0,33.06714630126953
999,26.927743911743164,26927.7421875,999.0,31.45882797241211
999,26.916057586669922,26916.056640625,999.0,32.590850830078125
999,26.930673599243164,26930.671875,999.0,33.0776252746582
999,26.930784225463867,26930.783203125,999.0,34.87018966674805
999,26.906070709228516,26906.0703125,999.0,33.40904235839844
999,26.91780662536621,26917.8046875,999.0,33.38039779663086
999,26.92661476135254,26926.61328125,999.0,32.11820602416992
999,26.938064575195312,26938.0625,999.0,34.33641815185547
999,26.91816520690918,26918.1640625,999.0,34.58423614501953
999,26.906536102294922,26906.53515625,999.0,35.227054595947266
999,26.920923233032227,26920.921875,999.0,31.107555389404297
999,26.922571182250977,26922.5703125,999.0,32.735450744628906
999,26.945905685424805,26945.904296875,999.0,31.58150291442871
999,26.898113250732422,26898.111328125,999.0,36.954986572265625
999,26.899282455444336,26899.28125,999.0,35.72716522216797
999,26.90032958984375,26900.328125,999.0,32.04718017578125
999,26.923194885253906,26923.193359375,999.0,30.015254974365234
999,26.910118103027344,26910.1171875,999.0,32.69265365600586
999,26.928142547607422,26928.140625,999.0,35.589378356933594
999,26.93612289428711,26936.12109375,999.0,33.34585952758789
999,26.920326232910156,26920.32421875,999.0,32.225101470947266
999,26.927154541015625,26927.15234375,999.0,30.568649291992188
999,26.93473243713379,26934.73046875,999.0,31.653913497924805
999,26.917192459106445,26917.19140625,999.0,31.848190307617188
999,26.900177001953125,26900.17578125,999.0,33.19361114501953
999,26.927947998046875,26927.947265625,999.0,30.334827423095703
999,26.930830001831055,26930.828125,999.0,31.86363410949707
999,26.907047271728516,26907.046875,999.0,31.747018814086914
999,26.91346549987793,26913.46484375,999.0,35.10932159423828
999,26.909875869750977,26909.875,999.0,32.85441589355469
999,26.911407470703125,26911.40625,999.0,31.68512535095215
999,26.890098571777344,26890.09765625,999.0,34.58208084106445
999,26.929428100585938,26929.427734375,999.0,31.553735733032227
999,26.899723052978516,26899.72265625,999.0,35.34693908691406
999,26.924213409423828,26924.212890625,999.0,31.954994201660156
999,26.918750762939453,26918.75,999.0,31.976184844970703
999,26.930500030517578,26930.498046875,999.0,31.1937198638916
999,26.92402458190918,26924.0234375,999.0,30.22879409790039
999,26.930471420288086,26930.470703125,999.0,32.02490997314453
999,26.918739318847656,26918.73828125,999.0,32.930397033691406
999,26.90231704711914,26902.31640625,999.0,31.900135040283203
999,26.927841186523438,26927.83984375,999.0,31.707279205322266
999,26.90285301208496,26902.8515625,999.0,32.110267639160156
999,26.913238525390625,26913.236328125,999.0,35.04343032836914
999,26.907978057861328,26907.9765625,999.0,37.63457107543945
999,26.89181900024414,26891.818359375,999.0,32.593448638916016
999,26.903902053833008,26903.900390625,999.0,30.046001434326172
999,26.92285919189453,26922.857421875,999.0,32.62504959106445
999,26.9239501953125,26923.94921875,999.0,31.557283401489258
999,26.91954231262207,26919.541015625,999.0,35.173770904541016
999,26.9110050201416,26911.00390625,999.0,31.874935150146484
999,26.92484474182129,26924.84375,999.0,31.620973587036133
999,26.91896629333496,26918.96484375,999.0,31.759807586669922
999,26.905227661132812,26905.2265625,999.0,31.837770462036133
999,26.919036865234375,26919.03515625,999.0,32.2286262512207
999,26.908082962036133,26908.08203125,999.0,33.40586853027344
999,26.8944149017334,26894.4140625,999.0,31.14908218383789
999,26.896564483642578,26896.5625,999.0,30.369497299194336
999,26.91727066040039,26917.26953125,999.0,32.44856262207031
999,26.893709182739258,26893.70703125,999.0,32.26609420776367
999,26.8940372467041,26894.03515625,999.0,30.81199836730957
999,26.948610305786133,26948.609375,999.0,30.042430877685547
999,26.930543899536133,26930.54296875,999.0,30.207700729370117
999,26.918088912963867,26918.087890625,999.0,31.377229690551758
999,26.919599533081055,26919.59765625,999.0,38.65665817260742
999,26.935264587402344,26935.263671875,999.0,31.868236541748047
999,26.922090530395508,26922.08984375,999.0,32.953250885009766
999,26.900381088256836,26900.37890625,999.0,34.255821228027344
999,26.91408920288086,26914.087890625,999.0,31.475065231323242
999,26.904020309448242,26904.01953125,999.0,31.668210983276367
999,26.904237747192383,26904.236328125,999.0,37.60169219970703
999,26.876419067382812,26876.41796875,999.0,31.236068725585938
999,26.915607452392578,26915.60546875,999.0,30.599668502807617
999,26.899051666259766,26899.05078125,999.0,34.54145431518555
999,26.900455474853516,26900.455078125,999.0,29.829750061035156
999,26.88669204711914,26886.69140625,999.0,31.664743423461914
999,26.929140090942383,26929.138671875,999.0,34.00495529174805
999,,,,36.83344650268555
999,,,,31.863248825073242
999,,,,30.510265350341797
999,,,,34.82332229614258
999,,,,36.17721939086914
999,,,,35.214107513427734
999,,,,32.106815338134766
999,,,,32.588436126708984
999,,,,31.533601760864258
999,,,,30.64664649963379
999,,,,31.8641300201416
999,,,,33.336666107177734
999,,,,31.257505416870117
999,,,,31.552705764770508
999,,,,32.30317306518555
999,,,,31.787302017211914
999,,,,30.65564727783203
999,,,,33.407169342041016
999,,,,31.213443756103516
999,,,,31.147138595581055
999,,,,34.14885330200195
999,,,,29.946760177612305
999,,,,30.065465927124023
999,,,,35.057010650634766
999,,,,33.93859100341797
999,,,,29.98986053466797
999,,,,38.79417037963867
999,,,,35.14267349243164
999,,,,30.538732528686523
999,,,,32.745330810546875
999,,,,33.45867156982422
999,,,,35.52927780151367
999,,,,33.747352600097656
999,,,,32.64313507080078
999,,,,31.65766143798828
999,,,,30.397672653198242
