step_count,eval reward,Return (Test),Max Step Count (Test),reward
68,0.8250588178634644,19.801410675048828,23.0,1.0076760053634644
84,0.8512641191482544,21.28160285949707,24.0,1.0138633251190186
81,0.7963173389434814,19.111616134643555,23.0,0.7890756130218506
72,0.8309710025787354,20.774274826049805,24.0,0.8690012693405151
79,0.8127564191818237,20.318910598754883,24.0,0.9476253986358643
83,0.8467615842819214,21.16904067993164,24.0,0.8754776120185852
64,0.8294305801391602,20.73576545715332,24.0,0.704656183719635
41,0.8237997889518738,19.771194458007812,23.0,0.7992457747459412
58,0.8160857558250427,19.586057662963867,23.0,0.8453953266143799
67,0.8314782381057739,20.786956787109375,24.0,0.8094194531440735
57,0.8196845054626465,20.49211311340332,24.0,0.8285495042800903
89,0.8102098703384399,20.255247116088867,24.0,0.9456570148468018
69,0.8527430295944214,21.31857681274414,24.0,0.8227075338363647
62,0.8449618220329285,20.279083251953125,23.0,0.8557319641113281
90,0.8518507480621338,20.44441795349121,23.0,1.0473099946975708
60,0.8147701621055603,20.36925506591797,24.0,0.777834951877594
58,0.8098968863487244,20.24742317199707,24.0,0.8559064865112305
90,0.8202269077301025,20.505672454833984,24.0,0.8479776978492737
97,0.8305711150169373,19.933706283569336,23.0,0.9478287696838379
67,0.8098828196525574,20.2470703125,24.0,0.8341524600982666
53,0.8234438300132751,20.586095809936523,24.0,0.9018586874008179
49,0.8435004949569702,21.087512969970703,24.0,0.724668025970459
138,0.8146110773086548,19.5506649017334,23.0,1.0348721742630005
43,0.8293437361717224,19.90424919128418,23.0,0.7794828414916992
100,0.839514970779419,20.148359298706055,23.0,0.8345057964324951
120,0.821570873260498,19.717700958251953,23.0,0.9042861461639404
90,0.8483819961547852,21.209550857543945,24.0,0.9947118163108826
100,0.8614747524261475,21.536869049072266,24.0,0.9584107995033264
52,0.8108732104301453,19.460956573486328,23.0,0.8095963001251221
68,0.8200457096099854,19.68109703063965,23.0,0.8008235096931458
102,0.8239874839782715,19.775699615478516,23.0,0.746742844581604
