step_count,Max Step Count (Test),eval reward,lr,reward,Return (Test)
20,9.0,9.198281288146973,0.0003,9.077878952026367,91.9828109741211
11,14.0,9.272287368774414,0.00029999925978027874,9.079832077026367,139.0843048095703
12,9.0,9.208483695983887,0.00029999703912842054,9.109734535217285,92.0848388671875
12,13.0,9.25583267211914,0.00029999333806634247,9.103548049926758,129.58164978027344
15,26.0,9.277778625488281,0.00029998815663057245,9.119553565979004,250.50001525878906
17,14.0,9.256674766540527,0.00029998149487224914,9.131612777709961,138.85011291503906
20,27.0,9.266684532165527,0.00029997335285712143,9.15307903289795,259.4671630859375
18,32.0,9.248481750488281,0.0002999637306655477,9.166217803955078,305.19989013671875
14,31.0,9.270732879638672,0.000299952628392495,9.16933822631836,296.6634521484375
22,36.0,9.283295631408691,0.0002999400461475385,9.176172256469727,343.48193359375
19,52.0,9.32324504852295,0.0002999259840548598,9.18503475189209,494.1319885253906
21,61.0,9.323286056518555,0.000299910442253246,9.19591236114502,578.0437622070312
17,156.0,9.345242500305176,0.00029989342089608846,9.198797225952148,1467.203125
21,40.0,9.31157398223877,0.0002998749201513811,9.2018404006958,381.7745361328125
24,34.0,9.28567123413086,0.00029985494020171884,9.213491439819336,324.9985046386719
23,24.0,9.277052879333496,0.00029983348124429566,9.217347145080566,231.9263153076172
23,26.0,9.25015926361084,0.0002998105434909028,9.215973854064941,249.75428771972656
21,31.0,9.29218864440918,0.0002997861271679266,9.224202156066895,297.35003662109375
25,10.0,9.209909439086914,0.0002997602325163464,9.220070838928223,101.30900573730469
20,10.0,9.217827796936035,0.0002997328597917319,9.218563079833984,101.39610290527344
20,39.0,9.288558959960938,0.0002997040092642408,9.222936630249023,371.5423583984375
22,44.0,9.260764122009277,0.0002996736812186163,9.226130485534668,416.734375
21,10.0,9.231607437133789,0.0002996418759541838,9.227913856506348,101.54768371582031
25,9.0,9.192850112915039,0.0002996085937848486,9.228144645690918,91.92849731445312
25,11.0,9.222919464111328,0.0002995738350390921,9.22868537902832,110.6750259399414
28,21.0,9.261415481567383,0.0002995376000599692,9.234543800354004,203.7511444091797
26,12.0,9.184493064880371,0.00029949988920510446,9.234672546386719,119.39839935302734
25,12.0,9.217123985290527,0.0002994607028466888,9.235910415649414,119.82260131835938
24,13.0,9.225997924804688,0.00029942004137147586,9.232168197631836,129.16397094726562
29,18.0,9.244708061218262,0.0002993779051807778,9.238595008850098,175.64944458007812
22,16.0,9.250203132629395,0.0002993342946904619,9.23051643371582,157.25344848632812
