reward,step_count,lr,eval reward,Return (test),Max step count (test)
-1.0102447271347046,49,0.0003,-0.15630735456943512,-7.815367698669434,49.0
-0.969072699546814,49,0.00029999925978027874,-0.2548610270023346,-12.743051528930664,49.0
-0.9336180686950684,49,0.00029999703912842054,-0.09525130689144135,-4.762565612792969,49.0
-0.9669677019119263,49,0.00029999333806634247,-0.16036593914031982,-8.01829719543457,49.0
-0.8712546229362488,49,0.00029998815663057245,-0.090326227247715,-4.5163116455078125,49.0
-0.8509113788604736,49,0.00029998149487224914,-0.0770576149225235,-3.8528809547424316,49.0
-0.8348973989486694,49,0.00029997335285712143,-0.10269005596637726,-5.13450288772583,49.0
-0.7410708069801331,49,0.0002999637306655477,-0.035441625863313675,-1.7720812559127808,49.0
-0.676238477230072,49,0.000299952628392495,-0.14817754924297333,-7.408877849578857,49.0
-0.5808051228523254,49,0.0002999400461475385,-0.028202543035149574,-1.4101271629333496,49.0
-0.5134273767471313,49,0.0002999259840548598,-0.030419442802667618,-1.5209721326828003,49.0
-0.4428752660751343,49,0.000299910442253246,-0.058308523148298264,-2.915426254272461,49.0
-0.44207796454429626,49,0.00029989342089608846,-0.08763117343187332,-4.381558895111084,49.0
-0.4183284640312195,49,0.0002998749201513811,-0.05827927589416504,-2.913963794708252,49.0
-0.3568018972873688,49,0.00029985494020171884,-0.052341528236866,-2.6170763969421387,49.0
-0.35438892245292664,49,0.00029983348124429566,-0.11522477865219116,-5.761239051818848,49.0
-0.30601173639297485,49,0.0002998105434909028,-0.03215905278921127,-1.6079527139663696,49.0
-0.3017160892486572,49,0.0002997861271679266,-0.03601792827248573,-1.800896406173706,49.0
-0.3038537800312042,49,0.0002997602325163464,-0.06500745564699173,-3.250372886657715,49.0
-0.26253846287727356,49,0.0002997328597917319,-0.09366577863693237,-4.683289051055908,49.0
-0.24192115664482117,49,0.0002997040092642408,-0.05763170123100281,-2.881585121154785,49.0
-0.24177870154380798,49,0.0002996736812186163,-0.08969463407993317,-4.484731674194336,49.0
-0.2253541648387909,49,0.0002996418759541838,-0.12603715062141418,-6.301857948303223,49.0
-0.20235587656497955,49,0.0002996085937848486,-0.1454109251499176,-7.2705464363098145,49.0
-0.19582906365394592,49,0.0002995738350390921,-0.03582005947828293,-1.7910029888153076,49.0
-0.20421256124973297,49,0.0002995376000599692,-0.02664317563176155,-1.3321588039398193,49.0
-0.20663322508335114,49,0.00029949988920510446,-0.11496862769126892,-5.74843168258667,49.0
-0.19219131767749786,49,0.0002994607028466888,-0.09718197584152222,-4.8590989112854,49.0
-0.16860981285572052,49,0.00029942004137147586,-0.1327877789735794,-6.6393890380859375,49.0
-0.20165207982063293,49,0.0002993779051807778,-0.12253095954656601,-6.1265482902526855,49.0
-0.17153818905353546,49,0.0002993342946904619,-0.13120849430561066,-6.5604248046875,49.0
-0.1532561331987381,49,0.0002992892103309462,-0.09210509061813354,-4.605254650115967,49.0
-0.14569510519504547,49,0.00029924265254719496,-0.058773793280124664,-2.938689708709717,49.0
-0.16631031036376953,49,0.00029919462179871475,-0.08668625354766846,-4.334312915802002,49.0
-0.15760749578475952,49,0.0002991451185595498,-0.16681401431560516,-8.34070110321045,49.0
-0.17973777651786804,49,0.0002990941433182769,-0.13553255796432495,-6.776628017425537,49.0
-0.18196959793567657,49,0.0002990416965780012,-0.07906108349561691,-3.953054189682007,49.0
-0.14931078255176544,49,0.00029898777885635085,-0.11235589534044266,-5.617794990539551,49.0
-0.1536078304052353,49,0.000298932390685472,-0.04857613518834114,-2.428806781768799,49.0
-0.14959412813186646,49,0.00029887553261202354,-0.10674991458654404,-5.337495803833008,49.0
-0.1612977832555771,49,0.00029881720519717164,-0.08005625754594803,-4.00281286239624,49.0
-0.1308632642030716,49,0.0002987574090165844,-0.07027007639408112,-3.5135040283203125,49.0
-0.1563681960105896,49,0.00029869614466042593,-0.12564145028591156,-6.282073020935059,49.0
-0.14142432808876038,49,0.0002986334127333508,-0.09978290647268295,-4.989145278930664,49.0
-0.14888042211532593,49,0.00029856921385449763,-0.11508197337388992,-5.754098892211914,49.0
-0.1465396136045456,49,0.0002985035486574836,-0.03493880853056908,-1.7469404935836792,49.0
-0.1385149359703064,49,0.00029843641779039756,-0.13426722586154938,-6.713361740112305,49.0
-0.148826465010643,49,0.0002983678219157942,-0.09896951168775558,-4.9484758377075195,49.0
-0.14527639746665955,49,0.0002982977617106871,-0.11653462052345276,-5.826731204986572,49.0
-0.17998366057872772,49,0.00029822623786654207,-0.09776537865400314,-4.888268947601318,49.0
-0.1574651300907135,49,0.00029815325108927063,-0.04814805090427399,-2.407402515411377,49.0
-0.13763344287872314,49,0.00029807880209922283,-0.02638780139386654,-1.319390058517456,49.0
-0.147644504904747,49,0.00029800289163118014,-0.07253836840391159,-3.6269185543060303,49.0
-0.14849232137203217,49,0.0002979255204343483,-0.10581750422716141,-5.290875434875488,49.0
-0.15498368442058563,49,0.00029784668927234964,-0.06782031804323196,-3.3910160064697266,49.0
-0.1328686624765396,49,0.000297766398923216,-0.10865876823663712,-5.432938575744629,49.0
-0.13961835205554962,49,0.00029768465017938076,-0.03673427179455757,-1.8367135524749756,49.0
-0.14622953534126282,49,0.0002976014438476709,-0.022962521761655807,-1.1481261253356934,49.0
-0.13252413272857666,49,0.0002975167807492994,-0.09327026456594467,-4.66351318359375,49.0
-0.16378894448280334,49,0.0002974306617198568,-0.06682087481021881,-3.341043710708618,49.0
-0.12992654740810394,49,0.00029734308760930326,-0.03927779197692871,-1.963889718055725,49.0
-0.14352163672447205,49,0.00029725405928195976,-0.07767532020807266,-3.8837661743164062,49.0
-0.147486612200737,49,0.0002971635776165,-0.032330118119716644,-1.6165058612823486,49.0
-0.14703568816184998,49,0.00029707164350594156,-0.09777624905109406,-4.88881254196167,49.0
-0.15213993191719055,49,0.0002969782578576369,-0.1377343386411667,-6.886717319488525,49.0
-0.12250113487243652,49,0.00029688342159326476,-0.13614337146282196,-6.807168960571289,49.0
-0.13976450264453888,49,0.0002967871356488207,-0.0576879121363163,-2.8843955993652344,49.0
-0.17304398119449615,49,0.00029668940097460816,-0.07550077885389328,-3.775038957595825,49.0
-0.16313306987285614,49,0.00029659021853522887,-0.08359337598085403,-4.17966890335083,49.0
-0.15418381989002228,49,0.00029648958930957357,-0.024140575900673866,-1.207028865814209,49.0
-0.12368868291378021,49,0.000296387514290812,-0.0995011031627655,-4.97505521774292,49.0
-0.14196127653121948,49,0.0002962839944863834,-0.029402412474155426,-1.4701206684112549,49.0
-0.1244966983795166,49,0.00029617903091798647,-0.07466289401054382,-3.733144760131836,49.0
-0.15174026787281036,49,0.0002960726246215692,-0.1696407049894333,-8.482035636901855,49.0
-0.1448218673467636,49,0.00029596477664731884,-0.03485812246799469,-1.7429062128067017,49.0
-0.15361450612545013,49,0.0002958554880596513,-0.1484420746564865,-7.4221038818359375,49.0
-0.14614786207675934,49,0.0002957447599372009,-0.026388954371213913,-1.3194477558135986,49.0
-0.1547420620918274,49,0.0002956325933728095,-0.1779509335756302,-8.897546768188477,49.0
-0.1373010128736496,49,0.0002955189894735157,-0.07994728535413742,-3.9973642826080322,49.0
-0.13402792811393738,49,0.0002954039493605442,-0.06537364423274994,-3.2686822414398193,49.0
-0.14047755300998688,49,0.00029528747416929447,-0.09402375668287277,-4.701188087463379,49.0
-0.11768337339162827,49,0.0002951695650493296,-0.10408879816532135,-5.204440116882324,49.0
-0.1280931979417801,49,0.00029505022316436507,-0.09566815942525864,-4.783408164978027,49.0
-0.12268293648958206,49,0.000294929449692257,-0.09695836156606674,-4.8479180335998535,49.0
-0.12211481481790543,49,0.0002948072458249909,-0.17704585194587708,-8.852293014526367,49.0
-0.12290367484092712,49,0.00029468361276866953,-0.06522917002439499,-3.261458396911621,49.0
-0.13668149709701538,49,0.0002945585517435013,-0.13779209554195404,-6.889604568481445,49.0
-0.12299889326095581,49,0.00029443206398378796,-0.1084052175283432,-5.420260906219482,49.0
-0.12569285929203033,49,0.00029430415073791266,-0.10338447988033295,-5.169224262237549,49.0
-0.1370840221643448,49,0.0002941748132683276,-0.06503664702177048,-3.2518322467803955,49.0
-0.1508263647556305,49,0.00029404405285154126,-0.0591500848531723,-2.9575042724609375,49.0
-0.13429737091064453,49,0.00029391187077810625,-0.06668420881032944,-3.3342103958129883,49.0
-0.10973142087459564,49,0.0002937782683526062,-0.03300712630152702,-1.650356411933899,49.0
-0.10041894763708115,49,0.0002936432468936432,-0.08060465008020401,-4.0302324295043945,49.0
-0.11614391207695007,49,0.00029350680773382445,-0.10079117864370346,-5.0395588874816895,49.0
