step_count,Max Step Count (Test),eval reward,lr,reward,Return (Test)
46,18.0,0.8455693125724792,0.0003,0.8052645921707153,16.06581687927246
41,18.0,0.8498152494430542,0.00029999925978027874,0.8287643790245056,16.1464900970459
54,17.0,0.8531910181045532,0.00029999703912842054,0.7977824211120605,15.357438087463379
33,17.0,0.8569828271865845,0.00029999333806634247,0.6936925649642944,15.425690650939941
64,18.0,0.8562519550323486,0.00029998815663057245,0.7561674118041992,16.268787384033203
49,18.0,0.8447889089584351,0.00029998149487224914,0.8094640970230103,16.050989151000977
38,17.0,0.8519142866134644,0.00029997335285712143,0.8081086874008179,15.334457397460938
111,18.0,0.8484593629837036,0.0002999637306655477,0.8760474920272827,16.1207275390625
65,19.0,0.847509503364563,0.000299952628392495,0.7699819803237915,16.9501895904541
69,18.0,0.8457280397415161,0.0002999400461475385,0.8243545293807983,16.068832397460938
38,18.0,0.8492689728736877,0.0002999259840548598,0.8103101253509521,16.136110305786133
60,17.0,0.8474820256233215,0.000299910442253246,0.8111324906349182,15.254676818847656
104,17.0,0.8505290150642395,0.00029989342089608846,0.8519653677940369,15.309521675109863
58,17.0,0.853973925113678,0.0002998749201513811,0.8237807750701904,15.371530532836914
72,16.0,0.8631196618080139,0.00029985494020171884,0.8546182513237,14.67303466796875
31,18.0,0.8579249978065491,0.00029983348124429566,0.7585305571556091,16.300575256347656
44,17.0,0.8563545942306519,0.0002998105434909028,0.7925493717193604,15.414382934570312
59,18.0,0.8523503541946411,0.0002997861271679266,0.8018706440925598,16.194656372070312
68,17.0,0.8542371392250061,0.0002997602325163464,0.8703728914260864,15.37626838684082
44,17.0,0.8572218418121338,0.0002997328597917319,0.7818697690963745,15.42999267578125
53,17.0,0.8572306036949158,0.0002997040092642408,0.8606037497520447,15.430150985717773
75,18.0,0.8570703268051147,0.0002996736812186163,0.8174883723258972,16.28433609008789
75,17.0,0.8566684722900391,0.0002996418759541838,0.7890616655349731,15.420032501220703
49,17.0,0.8553364276885986,0.0002996085937848486,0.7945857048034668,15.396055221557617
77,17.0,0.858731746673584,0.0002995738350390921,0.8842994570732117,15.457171440124512
106,17.0,0.8605573773384094,0.0002995376000599692,0.8887893557548523,15.490032196044922
41,16.0,0.868344247341156,0.00029949988920510446,0.80613112449646,14.761852264404297
71,17.0,0.859796404838562,0.0002994607028466888,0.9172600507736206,15.476335525512695
82,17.0,0.8619220852851868,0.00029942004137147586,0.9251531958580017,15.514596939086914
54,16.0,0.8714010715484619,0.0002993779051807778,0.7822607159614563,14.813817977905273
94,18.0,0.8602208495140076,0.0002993342946904619,0.9537720084190369,16.344196319580078
73,17.0,0.8545101881027222,0.0002992892103309462,0.8743351101875305,15.381183624267578
51,17.0,0.8630158305168152,0.00029924265254719496,0.7969221472740173,15.534284591674805
57,17.0,0.8548826575279236,0.00029919462179871475,0.9112867116928101,15.387887954711914
65,17.0,0.8653271794319153,0.0002991451185595498,0.7625299692153931,15.575889587402344
53,17.0,0.8578037619590759,0.0002990941433182769,0.8076660633087158,15.440467834472656
70,17.0,0.8590747117996216,0.0002990416965780012,0.9062212109565735,15.46334457397461
66,17.0,0.8547878265380859,0.00029898777885635085,0.835646390914917,15.386180877685547
