step_count,Max Step Count (Test),eval reward,lr,reward,Return (Test)
999,999.0,-0.0033411122858524323,0.0003,-0.25211137533187866,-3.3411121368408203
998,999.0,-0.0036138028372079134,0.00029999925978027874,-0.39115968346595764,-3.613802671432495
999,999.0,-0.003054991364479065,0.00029999703912842054,-0.2377474457025528,-3.0549912452697754
999,999.0,-0.0028135841712355614,0.00029999333806634247,-0.17466020584106445,-2.813584089279175
999,999.0,-0.002399470889940858,0.00029998815663057245,-0.15915806591510773,-2.399470806121826
999,999.0,-0.0038328582886606455,0.00029998149487224914,-0.3386465013027191,-3.832858085632324
999,999.0,-0.003833585185930133,0.00029997335285712143,-0.2341279685497284,-3.833585023880005
999,999.0,-0.004173189401626587,0.0002999637306655477,-0.2629804313182831,-4.173189163208008
999,999.0,-0.003128304611891508,0.000299952628392495,-0.49901899695396423,-3.1283044815063477
999,999.0,-0.00409335782751441,0.0002999400461475385,-0.16781216859817505,-4.093357563018799
999,999.0,-0.003781852312386036,0.0002999259840548598,-0.3775161802768707,-3.7818522453308105
999,999.0,-0.0029706666246056557,0.000299910442253246,-0.3081284463405609,-2.9706664085388184
999,999.0,-0.004546282812952995,0.00029989342089608846,-0.19251057505607605,-4.546282768249512
999,999.0,-0.003659526351839304,0.0002998749201513811,-0.2943827211856842,-3.6595261096954346
999,999.0,-0.003718511899933219,0.00029985494020171884,-0.23874591290950775,-3.7185118198394775
999,999.0,-0.003800496459007263,0.00029983348124429566,-0.23636575043201447,-3.8004963397979736
999,999.0,-0.003621893236413598,0.0002998105434909028,-0.23934321105480194,-3.6218931674957275
999,999.0,-0.0038847532123327255,0.0002997861271679266,-0.28333422541618347,-3.8847529888153076
999,999.0,-0.003406110918149352,0.0002997602325163464,-0.2481849193572998,-3.4061107635498047
999,999.0,-0.002732635475695133,0.0002997328597917319,-0.2895224392414093,-2.732635259628296
999,999.0,-0.003377833403646946,0.0002997040092642408,-0.35775014758110046,-3.377833127975464
999,999.0,-0.004245606251060963,0.0002996736812186163,-0.43780529499053955,-4.245605945587158
999,999.0,-0.004625414032489061,0.0002996418759541838,-0.3716500401496887,-4.62541389465332
999,999.0,-0.004108215216547251,0.0002996085937848486,-0.2782871425151825,-4.108214855194092
999,999.0,-0.003315599402412772,0.0002995738350390921,-0.20248618721961975,-3.315599203109741
999,999.0,-0.00397473806515336,0.0002995376000599692,-0.31315070390701294,-3.9747376441955566
999,999.0,-0.0035906806588172913,0.00029949988920510446,-0.21731677651405334,-3.5906805992126465
999,999.0,-0.0028852412942796946,0.0002994607028466888,-0.3603796660900116,-2.8852412700653076
